player_id,lnr_id,lnr_slug,name,team,team_code,position_group,position_raw,nationality,age,height_cm,weight_kg,season,matches_played,minutes_total,minutes_avg,yellow_cards,orange_cards,red_cards,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,tries_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_disc,axis_pow,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,rating_value,has_prior
lnr_1793,1793,kylan-hamdaoui,Kylan Hamdaoui,Clermont,CLR,FULLBACK,Arrière,France,31.0,182.0,91.0,2025-2026,12,754.0,62.8,0,0,0,2.33,,,0.11,,,,1.27,0.74,,,2.65,0.53,,,,,lnr,78.4,77.4,0.89,98,44,36,27,100,58,Arrière,ARR,89,Haute,False,Moyenne,False,4,90.9,,,,,,,,,,,,71.1,True
lnr_646,646,alex-newsome,Alex Newsome,Clermont,CLR,FULLBACK,Arrière,Australie,31.0,189.0,93.0,2025-2026,12,808.0,67.3,0,0,0,2.87,,,0.1,,,,0.4,0.79,,,2.48,0.5,,,,,lnr,68.3,68.4,0.954,31,47,34,39,100,54,Arrière,ARR,95,Haute,False,Bonne,False,17,51.5,,,,,,,,,,,,68.4,False
lnr_12302,12302,pita-gus-sowakula,P. Sowakula,Clermont,CLR,BACK_ROW,3ème ligne,Fidji,31.0,196.0,117.0,2025-2026,12,784.0,65.3,1,0,0,8.98,,,0.0,,,,0.2,1.53,,,0.51,0.1,,,,,lnr,72.2,72.0,0.92,24,100,20,24,68,11,3ème Ligne,3L,92,Haute,False,Moyenne,False,28,71.0,,,,,,,,,,,,70.7,True
lnr_937,937,lucas-zamora,Lucas Zamora,Clermont,CLR,SCRUM_HALF,Demi de mêlée,France,21.0,170.0,80.0,2025-2026,12,407.0,33.9,0,0,0,5.7,,,0.0,,,,0.79,1.38,,,2.95,0.59,,,,,lnr,76.6,73.7,0.564,56,64,40,43,100,42,Demi de mêlée,9,56,Moyenne,False,Moyenne,False,7,85.7,,,,,,,,,,,,70.2,True
lnr_712,712,bautista-delguy,B. Delguy,Clermont,CLR,WINGER,Ailier,Argentine,28.0,183.0,84.0,2025-2026,11,827.0,75.2,0,0,0,3.1,,,0.0,,,,0.58,0.39,,,0.97,0.19,,,,,lnr,62.3,62.3,0.994,36,24,18,22,100,11,Ailier,AIL,99,Haute,False,Bonne,False,37,10.0,70.6,Argentine,49,cluster_1,77.3,53.5,50.0,85.0,89.8,74.2,91.4,64.8,True
lnr_402,402,joris-jurand,Joris Jurand,Clermont,CLR,CENTRE,Centre,France,30.0,188.0,106.0,2025-2026,11,811.0,73.7,1,0,0,3.26,,,0.0,,,,0.79,0.89,,,2.96,0.59,,,,,lnr,72.8,72.5,0.9,68,57,67,9,47,42,Centre,CTR,90,Haute,False,Bonne,False,16,79.9,,,,,,,,,,,,71.7,True
lnr_1544,1544,alivereti-loaloa,A. Loaloa,Clermont,CLR,CENTRE,Centre,Fidji,25.0,182.0,101.0,2025-2026,11,821.0,74.6,0,0,0,8.77,,,0.68,,,,0.39,1.17,,,0.49,0.1,,,,,lnr,74.4,74.0,0.911,33,75,11,84,100,47,Centre,CTR,91,Haute,False,Bonne,False,10,87.7,,,,,,,,,,,,74.0,False
lnr_906,906,pio-muarua,Pio Muarua,Clermont,CLR,BACK_ROW,3ème ligne,Fidji,29.0,191.0,120.0,2025-2026,11,345.0,31.4,0,0,0,8.35,,,0.23,,,,0.23,0.7,,,1.16,0.23,,,,,lnr,78.2,73.3,0.405,27,66,44,18,100,39,3ème Ligne,3L,40,Moyenne,False,Basse,False,25,74.2,,,,,,,,,,,,73.3,False
lnr_2709,2709,leon-darricarrere,L. Darricarrere,Clermont,CLR,CENTRE,Centre,France,21.0,187.0,98.0,2025-2026,10,730.0,73.0,0,0,0,4.6,,,0.0,,,,0.33,0.44,,,0.55,0.11,,,,,lnr,60.3,62.1,0.81,28,28,13,28,100,8,Centre,CTR,81,Haute,False,Moyenne,False,68,13.0,,,,,,,,,,,,64.2,True
lnr_711,711,thibaud-lanen,Thibaud Lanen,Clermont,CLR,LOCK,2ème ligne,France,27.0,198.0,109.0,2025-2026,10,453.0,45.3,0,0,0,13.77,,,0.35,,,,0.0,0.71,,,0.0,0.0,,,,,lnr,83.2,77.0,0.528,0,50,0,76,100,19,2ème Ligne,2L,53,Moyenne,False,Moyenne,False,20,72.1,,,,,,,,,,,,72.5,True
