player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus,axis_consistency,n_matches_consistency,yellow_cards,orange_cards,red_cards,tries_per80
lnr_1126,1126,alfred-parisien,https://cdn.lnr.fr/joueur/1126-alfred-parisien/photo/photoFull.eff1aa9b4a9f2b351be13ae3eed38b31d19c422e,Alfred Parisien,Lyon,LOU,CENTRE,Centre,2020-2021,2,68.0,34.0,8.24,,,0.0,,,,0.0,0.0,,,0.0,,,,,lnr,20.0,182.0,91.0,France,93.0232558139535,72.8,58.8,61.0,0.5,0,0,0,100,30,85,,18.3,↗,5,"[7.2, 0, 23.6, 22.9, 26.0]",100,-1.25,Centre,CTR,50,Basse,True,Basse,True,15,39.1,,,,,,,,,,,,0.0,,,,,,
lnr_2169,2169,ali-oz,https://cdn.lnr.fr/joueur/2169-ali-oz/photo/photoFull.c13853c24f9a438203d2dc57b45e48161a549ae5,Ali Oz,Racing 92,R92,FRONT_ROW,1ère ligne,2020-2021,13,596.0,45.8,8.59,,,0.13,,,,0.0,0.54,,,0.0,,,,,lnr,,,,,0.0,0.0,53.7,57.8,0.75,0,53,0,34,36,0,,50.0,→,0,[],100,0.0,1ère Ligne,1L,75,Haute,False,Moyenne,False,63,8.8,,,,,,,,,,,,0.0,,,,,,
lnr_2565,2565,andy-bordelai,https://cdn.lnr.fr/joueur/2565-andy-bordelai/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,Andy Bordelai,Racing 92,R92,FRONT_ROW,1ère ligne,2020-2021,3,43.0,14.3,5.58,,,3.72,,,,0.0,0.0,,,0.0,,,,,lnr,21.0,186.0,115.0,France,95.06772297469972,92.0,65.8,66.9,0.5,0,0,0,1,70,90,,42.8,↘,5,"[47.8, 57.8, 25.0, 62.3, 49.4]",100,-1.03,1ère Ligne,1L,50,Basse,True,Basse,True,39,44.1,,,,,,,,,,,,0.0,,,,,,
lnr_1426,1426,anthony-bouthier,https://cdn.lnr.fr/joueur/1426-anthony-bouthier/photo/photoFull.55223152d2bdf719adae33c3f4ef18c348eed132,Anthony Bouthier,Montpellier,MHR,FULLBACK,Arrière,2020-2021,13,947.0,72.8,4.05,,,0.0,,,,0.25,1.01,,,7.6,,,,,lnr,,,,,0.0,0.0,71.2,71.2,1.0,16,100,100,41,30,0,7.6,50.0,→,0,[],100,0.0,Arrière,ARR,100,Haute,False,Bonne,False,2,90.0,62.2,France,11.0,cluster_1,69.2,58.5,50.0,72.4,71.9,58.1,99.1,0.0,,,,,,
lnr_2150,2150,antoine-gibert,https://cdn.lnr.fr/joueur/2150-antoine-gibert/photo/photoFull.8b942e992ebb42fdd1ca819c8cb833427c776cef,Antoine Gibert,Racing 92,R92,CENTRE,Centre,2020-2021,24,953.0,39.7,4.53,,,0.0,,,,0.25,0.42,,,3.61,,,,,lnr,23.0,177.0,76.0,France,90.46767186302073,60.8,59.3,57.7,1.0,27,39,93,29,30,75,,19.0,↗,5,"[3.8, 9.3, 0, 5.2, 50.4]",100,-0.16,Centre,CTR,100,Haute,False,Bonne,False,23,4.3,,,,,,,,,,,,0.0,,,,,,
lnr_322,322,antoine-miquel,https://cdn.lnr.fr/joueur/322-antoine-miquel/photo/photoFull.c13853c24f9a438203d2dc57b45e48161a549ae5,Antoine Miquel,Toulouse,TLS,BACK_ROW,3ème ligne,2020-2021,14,834.0,59.6,7.96,,,0.38,,,,0.38,1.34,,,0.96,,,,,lnr,,,,,0.0,0.0,61.8,61.8,1.0,56,100,23,6,46,0,,50.0,→,0,[],100,0.0,3ème Ligne,3L,100,Haute,False,Bonne,False,22,25.0,,,,,,,,,,,,0.0,,,,,,
lnr_49,49,arnaud-duputs,https://cdn.lnr.fr/joueur/49-arnaud-duputs/photo/photoFull.fa741145527d67f0373a3b7f544c55452bd2af8a,Arnaud Duputs,Bayonne,BAY,BACK_ROW,3ème ligne,2020-2021,14,681.0,48.6,12.1,,,0.94,,,,0.0,0.12,,,1.17,,,,,lnr,,,,,0.0,0.0,73.6,73.6,1.0,0,9,28,68,69,0,,50.0,→,0,[],100,0.0,3ème Ligne,3L,100,Haute,False,Moyenne,False,3,92.9,,,,,,,,,,,,0.0,,,,,,
lnr_420,420,arthur-bonneval,https://cdn.lnr.fr/joueur/420-arthur-bonneval/photo/photoFull.df70eb994b7734bdf40e01b850e18c98079124f9,Arthur Bonneval,Toulouse,TLS,WINGER,Ailier,2020-2021,4,135.0,33.8,2.37,,,0.0,,,,0.59,0.59,,,0.0,,,,,lnr,,,,,0.0,0.0,56.6,63.3,0.5,25,49,0,2,30,0,0.0,50.0,→,0,[],100,0.0,Ailier,AIL,50,Basse,True,Basse,True,10,40.0,,,,,,,,,,,,0.0,,,,,,
lnr_1776,1776,arthur-coville,https://cdn.lnr.fr/joueur/1776-arthur-coville/photo/photoFull.6fc701688372b38c2cd93e972d93fc323ab7f457,Arthur Coville,Paris,SFP,SCRUM_HALF,Demi de mêlée,2020-2021,24,800.0,33.3,5.0,,,0.0,,,,0.2,0.7,,,0.7,,,,,lnr,,,,,0.0,0.0,56.8,56.8,1.0,26,40,13,25,30,0,0.7,50.0,→,0,[],100,0.0,Demi de mêlée,9,100,Haute,False,Moyenne,False,18,5.6,,,,,,,,,,,,0.0,,,,,,
lnr_690,690,arthur-iturria,https://cdn.lnr.fr/joueur/690-arthur-iturria/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,Arthur Iturria,Clermont,CLR,LOCK,2ème ligne,2020-2021,11,726.0,66.0,9.04,,,0.22,,,,0.33,0.22,,,0.55,,,,,lnr,26.0,198.0,112.0,France,100.0,89.60000000000001,66.9,66.2,1.0,62,20,21,20,42,98,,35.8,↗,5,"[27.9, 36.7, 41.2, 39.1, 46.2]",100,2.0,2ème Ligne,2L,100,Haute,False,Moyenne,False,15,58.8,70.8,France,17.0,cluster_1,70.8,68.7,50.0,85.8,68.3,68.1,90.2,0.0,,,,,,
lnr_1379,1379,axel-bevia,https://cdn.lnr.fr/joueur/1379-axel-bevia/photo/photoFull.04d4f5111c6d5bf74e622e04f4c82377645acf85,Axel Bevia,Montpellier,MHR,FULLBACK,Arrière,2020-2021,3,229.0,76.3,2.79,,,0.35,,,,0.7,0.35,,,0.0,,,,,lnr,,,,,0.0,0.0,58.6,63.2,0.6,46,23,0,15,65,0,0.0,50.0,→,0,[],100,0.0,Arrière,ARR,60,Moyenne,True,Basse,True,5,60.0,,,,,,,,,,,,0.0,,,,,,
lnr_808,808,benjamin-botica,https://cdn.lnr.fr/joueur/808-benjamin-botica/photo/photoFull.8a8276a94cfaec44d9ad851c959e24101861b746,B. Botica,Bordeaux,BOR,FLY_HALF,Demi d'ouverture,2020-2021,22,859.0,39.0,3.54,,,0.0,,,,0.65,0.37,,,10.15,,,,,lnr,,,,,0.0,0.0,61.1,61.1,1.0,41,29,81,22,30,0,10.15,50.0,→,0,[],100,0.0,Ouvreur,10,100,Haute,False,Bonne,False,7,50.0,,,,,,,,,,,,0.0,,,,,,
lnr_1106,1106,baptiste-couilloud,https://cdn.lnr.fr/joueur/1106-baptiste-couilloud/photo/photoFull.8e39a4ffde2d58962f9632bb5639326c8c077ac5,B. Couilloud,Lyon,LOU,SCRUM_HALF,Demi de mêlée,2020-2021,16,822.0,51.4,7.98,,,0.0,,,,0.49,1.46,,,3.31,,,,,lnr,23.0,176.0,82.0,France,89.95655507283415,65.60000000000001,77.3,73.6,1.0,64,83,60,93,30,92,3.31,31.1,→,5,"[19.7, 49.5, 14.4, 21.6, 53.0]",100,-0.16,Demi de mêlée,9,100,Haute,False,Bonne,False,3,88.9,75.9,France,14.0,cluster_1,68.6,67.8,50.0,95.3,89.1,66.7,93.0,0.0900000000000005,,,,,,
lnr_712,712,bautista-delguy,https://cdn.lnr.fr/joueur/712-bautista-delguy/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,B. Delguy,Bordeaux,BOR,WINGER,Ailier,2020-2021,7,431.0,61.6,2.04,,,0.0,,,,0.37,0.19,,,1.86,,,,,lnr,23.0,183.0,84.0,Argentine,93.53437260414006,67.2,52.7,60.9,0.75,12,16,42,0,30,87,1.86,16.9,↘,5,"[26.2, 34.7, 0, 19.6, 19.0]",100,-0.16,Ailier,AIL,75,Haute,False,Moyenne,False,15,6.7,70.6,Argentine,49.0,cluster_1,77.3,53.5,50.0,85.0,89.8,74.2,91.4,0.0,,,,,,
lnr_241,241,baptiste-germain,https://cdn.lnr.fr/joueur/241-baptiste-germain/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,B. Germain,Toulouse,TLS,SCRUM_HALF,Demi de mêlée,2020-2021,13,332.0,25.5,4.82,,,0.0,,,,0.72,0.72,,,0.96,,,,,lnr,20.0,174.0,82.0,France,88.93432149246104,65.60000000000001,62.5,61.7,0.75,94,41,17,21,30,91,0.96,22.9,↘,5,"[18.3, 22.9, 28.3, 22.0, 27.5]",100,-1.25,Demi de mêlée,9,75,Haute,False,Basse,False,12,38.9,,,,,,,,,,,,0.0,,,,,,
lnr_2362,2362,beka-gigashvili,https://cdn.lnr.fr/joueur/2362-beka-gigashvili/photo/photoFull.2eaacbd11c12f10f571df4cbac07c560d1665acd,B. Gigashvili,Toulon,TLN,FRONT_ROW,1ère ligne,2020-2021,15,868.0,57.9,8.94,,,0.18,,,,0.0,0.09,,,0.46,,,,,lnr,29.0,179.0,116.0,Géorgie,91.48990544339382,92.8,68.7,71.0,1.0,0,9,17,38,39,90,,61.8,↗,5,"[83.9, 34.4, 100, 39.2, 82.0]",100,2.96,1ère Ligne,1L,100,Haute,False,Bonne,False,23,66.9,75.2,GEORG,34.0,cluster_0,57.0,51.8,50.0,87.6,82.9,55.9,88.9,0.0200000000000002,,,,,,
lnr_2633,2633,baptiste-heguy,https://cdn.lnr.fr/joueur/2633-baptiste-heguy/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,B. Heguy,Bayonne,BAY,BACK_ROW,3ème ligne,2020-2021,16,849.0,53.1,9.52,,,0.09,,,,0.09,0.0,,,0.47,,,,,lnr,22.0,196.0,104.0,France,100.0,83.2,55.1,56.1,1.0,13,0,11,29,34,92,,34.6,→,5,"[51.0, 49.7, 45.4, 29.7, 36.7]",100,-0.67,3ème Ligne,3L,100,Haute,False,Bonne,False,28,3.6,,,,,,,,,,,,0.0,,,,,,
lnr_1806,1806,baptiste-pesenti,https://cdn.lnr.fr/joueur/1806-baptiste-pesenti/photo/photoFull.0d105085f705532550693973c5545a1d4e020463,B. Pesenti,Pau,PAU,BACK_ROW,3ème ligne,2020-2021,14,791.0,56.5,12.64,,,0.2,,,,0.0,0.1,,,0.0,,,,,lnr,23.0,195.0,118.0,France,99.66777408637874,94.4,67.0,70.6,1.0,0,8,0,76,38,99,,75.7,↗,5,"[36.2, 100, 70.9, 91.7, 98.5]",100,-0.16,3ème Ligne,3L,100,Haute,False,Moyenne,False,9,71.4,,,,,,,,,,,,0.0,,,,,,
lnr_1432,1432,bastien-chalureau,https://cdn.lnr.fr/joueur/1432-bastien-chalureau/photo/photoFull.4cb2a4ab19ab443ff7739b68884b2f51b78c1bab,Bastien Chalureau,Montpellier,MHR,LOCK,2ème ligne,2020-2021,18,677.0,37.6,11.46,,,0.0,,,,0.0,0.35,,,0.0,,,,,lnr,29.0,,118.0,France,0.0,94.4,56.9,60.6,1.0,0,32,0,44,30,14,,53.6,↗,5,"[25.4, 58.6, 0, 97.3, 81.2]",100,2.96,2ème Ligne,2L,100,Haute,False,Moyenne,False,20,41.2,,,,,,,,,,,,0.0,,,,,,
lnr_1311,1311,bastien-guillemin,https://cdn.lnr.fr/joueur/1311-bastien-guillemin/photo/photoFull.df70eb994b7734bdf40e01b850e18c98079124f9,Bastien Guillemin,Castres,CAS,WINGER,Ailier,2020-2021,13,535.0,41.2,2.99,,,0.0,,,,0.6,0.0,,,2.24,,,,,lnr,,,,,0.0,0.0,53.3,57.4,0.75,26,0,51,16,30,0,2.24,50.0,→,0,[],100,0.0,Ailier,AIL,75,Haute,False,Moyenne,False,13,20.0,,,,,,,,,,,,0.0,,,,,,
lnr_235,235,bastien-soury,https://cdn.lnr.fr/joueur/235-bastien-soury/photo/photoFull.66c8481f41dae2c760111c9de7f76f50fdc806b3,Bastien Soury,Toulon,TLN,FRONT_ROW,1ère ligne,2020-2021,10,167.0,16.7,11.98,,,0.0,,,,0.0,0.0,,,0.0,,,,,lnr,,,,,0.0,0.0,56.3,61.8,0.6,0,0,0,71,30,0,,50.0,→,0,[],100,0.0,1ère Ligne,1L,60,Moyenne,True,Basse,False,57,17.6,,,,,,,,,,,,0.0,,,,,,
lnr_1893,1893,beka-gorgadze,https://cdn.lnr.fr/joueur/1893-beka-gorgadze/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,Beka Gorgadze,Bordeaux,BOR,BACK_ROW,3ème ligne,2020-2021,2,100.0,50.0,12.0,,,0.0,,,,0.0,0.8,,,0.0,,,,,lnr,25.0,189.0,110.0,Géorgie,96.6010733452594,88.0,67.6,69.9,0.5,0,62,0,67,30,95,,49.6,↘,5,"[66.8, 66.8, 66.8, 66.8, 41.2]",100,1.26,3ème Ligne,3L,50,Basse,True,Basse,True,12,60.7,75.8,GEORG,43.0,cluster_0,80.3,62.2,50.0,87.3,78.2,70.3,86.1,0.0799999999999997,,,,,,
lnr_2389,2389,bruce-devaux,https://cdn.lnr.fr/joueur/2389-bruce-devaux/photo/photoFull.b817331ae7e7f540e8505004318a8073270e5d10,Bruce Devaux,Toulon,TLN,FRONT_ROW,1ère ligne,2020-2021,16,403.0,25.2,13.5,,,0.2,,,,0.2,0.0,,,0.99,,,,,lnr,24.0,183.0,108.0,France,93.53437260414006,86.4,77.0,73.5,0.75,57,0,37,87,40,86,,42.3,→,5,"[58.3, 58.3, 56.5, 50.0, 38.4]",100,0.5,1ère Ligne,1L,75,Haute,False,Moyenne,False,15,79.4,,,,,,,,,,,,0.0,,,,,,
lnr_1915,1915,clement-laporte,https://cdn.lnr.fr/joueur/1915-clement-laporte/photo/photoFull.bf4a801945c52387138b3325d9dd3bcf510292ab,C. Laporte,Lyon,LOU,FULLBACK,Arrière,2020-2021,10,614.0,61.4,3.52,,,0.0,,,,0.78,0.78,,,0.65,,,,,lnr,,,,,0.0,0.0,61.3,61.3,1.0,51,73,11,30,30,0,0.65,50.0,→,0,[],100,0.0,Arrière,ARR,100,Haute,False,Moyenne,False,7,40.0,,,,,,,,,,,,0.0,,,,,,
lnr_694,694,cristian-ojovan,https://cdn.lnr.fr/joueur/694-cristian-ojovan/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,C. Ojovan,Clermont,CLR,FRONT_ROW,1ère ligne,2020-2021,20,755.0,37.8,8.26,,,0.0,,,,0.0,0.11,,,0.0,,,,,lnr,24.0,183.0,120.0,Moldavie,93.53437260414006,96.0,62.6,62.6,1.0,0,11,0,30,30,93,,36.9,↘,5,"[57.5, 33.6, 46.9, 30.9, 46.9]",100,0.5,1ère Ligne,1L,100,Haute,False,Moyenne,False,53,23.5,,,,,,,,,,,,0.0,,,,,,
lnr_707,707,cheikh-saliou-tiberghien,https://cdn.lnr.fr/joueur/707-cheikh-saliou-tiberghien/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,C. Tiberghien,Clermont,CLR,FULLBACK,Arrière,2020-2021,15,607.0,40.5,2.11,,,0.13,,,,0.4,0.66,,,1.32,,,,,lnr,,,,,0.0,0.0,57.7,55.0,1.0,26,59,22,1,43,0,1.32,6.8,↗,5,"[0, 0, 6.2, 11.4, 6.3]",100,0.0,Arrière,ARR,100,Haute,False,Moyenne,False,10,10.0,,,,,,,,,,,,0.0,,,,,,
lnr_2354,2354,christopher-tolofua,https://cdn.lnr.fr/joueur/2354-christopher-tolofua/photo/photoFull.4cb2a4ab19ab443ff7739b68884b2f51b78c1bab,C. Tolofua,Toulon,TLN,FRONT_ROW,1ère ligne,2020-2021,19,853.0,44.9,9.19,,,0.66,,,,0.0,0.09,,,0.94,,,,,lnr,27.0,182.0,120.0,France,93.0232558139535,96.0,76.2,71.4,1.0,0,9,35,40,62,93,,16.3,↗,5,"[19.2, 8.5, 39.4, 3.5, 17.6]",100,2.61,1ère Ligne,1L,100,Haute,False,Bonne,False,22,69.1,,,,,,,,,,,,0.0,,,,,,
lnr_5690,5690,calum-randle,https://cdn.lnr.fr/joueur/5690-calum-randle/photo/photoFull.d303b4e754d5628447799261cf17492ebc23d137,Calum Randle,Montpellier,MHR,FULLBACK,Arrière,2020-2021,2,83.0,41.5,7.71,,,0.0,,,,0.0,0.0,,,0.0,,,,,lnr,,,,,0.0,0.0,53.5,61.8,0.5,0,0,0,100,30,0,0.0,50.0,→,0,[],100,0.0,Arrière,ARR,50,Basse,True,Basse,True,6,50.0,,,,,,,,,,,,0.0,,,,,,
