lnr_slug,name,team,n_matches_consistency,consistency_raw,axis_consistency
arno-botha,Arno BOTHA,LOU Rugby,11,0.9457,96.9
diego-escobar,Diego ESCOBAR,Racing 92,12,0.9455,96.9
paul-gabrillagues,P. GABRILLAGUES,Stade Français Paris,17,0.9452,96.8
hugo-auradou,Hugo AURADOU,Section Paloise,16,0.9446,96.7
marcos-kremer,Marcos KREMER,ASM Clermont,9,0.9449,96.7
alexander-james-moon,A. MOON,Aviron Bayonnais,9,0.9445,96.7
julian-sixto-montoya,J. MONTOYA,Section Paloise,10,0.9445,96.7
pietro-ceccarelli,P. CECCARELLI,USA Perpignan,14,0.9444,96.6
juan-ignacio-brex-1,J. BREX,RC Toulon,10,0.944,96.6
dylan-cretin,Dylan CRETIN,LOU Rugby,16,0.944,96.6
beka-gigashvili,B. GIGASHVILI,RC Toulon,13,0.9443,96.6
reece-hewat,Reece HEWAT,Section Paloise,17,0.9436,96.5
guram-papidze,Guram PAPIDZE,Section Paloise,9,0.9436,96.5
andy-bordelai,Andy BORDELAI,Aviron Bayonnais,15,0.9437,96.5
joe-quere-karaba,J. QUERE KARABA,RC Toulon,9,0.9436,96.5
kleo-labarbe,Kleo LABARBE,Racing 92,5,0.9432,96.4
tjiuee-uanivi,Tjiuee UANIVI,US Montauban,15,0.943,96.3
sacha-zegueur,Sacha ZEGUEUR,Section Paloise,17,0.943,96.3
aleksandre-kuntelia,A. KUNTELIA,Stade Rochelais,21,0.9428,96.3
charles-kante-samba,C. KANTE SAMBA,Stade Rochelais,13,0.9425,96.2
joseph-patrick-powell,J. POWELL,US Montauban,15,0.9426,96.2
sikumbuzo-notshe,S. NOTSHE,US Montauban,12,0.9421,96.1
simon-meka,Simon MEKA,Castres Olympique,3,0.941,95.9
remi-picquette,Rémi PICQUETTE,Section Paloise,6,0.9412,95.9
joel-merkler-perez,J. MERKLER PEREZ,Stade Toulousain,10,0.9408,95.8
gia-kharaishvili,G. KHARAISHVILI,Racing 92,14,0.9402,95.7
teddy-baubigny,Teddy BAUBIGNY,RC Toulon,18,0.9401,95.7
ignacio-calles,Ignacio CALLES,Aviron Bayonnais,7,0.9402,95.7
jimi-maximin,Jimi MAXIMIN,Section Paloise,18,0.9399,95.6
theo-william,Theo WILLIAM,LOU Rugby,19,0.9395,95.6
siate-folau-tokolahi,S. TOKOLAHI,Section Paloise,9,0.9392,95.5
maxime-lamothe,Maxime LAMOTHE,Union Bordeaux-Bègles,16,0.9389,95.4
thomas-laclayat,Thomas LACLAYAT,Section Paloise,18,0.9387,95.4
david-ainuu,David AINUU,Stade Toulousain,11,0.9381,95.3
giacomo-nicotera-1,Giacomo NICOTERA,Stade Français Paris,14,0.9381,95.3
jonathan-hill,J. HILL,Racing 92,18,0.9377,95.2
irakli-aptsiauri,Irakli APTSIAURI,LOU Rugby,14,0.938,95.2
joel-kpoku,Joel KPOKU,Section Paloise,3,0.9372,95.1
jeremy-sinzelle,J. SINZELLE,RC Toulon,12,0.9371,95.0
pio-muarua,Pio MUARUA,ASM Clermont,11,0.9366,94.9
lucas-martin-paulos-adler,L. PAULOS ADLER,Aviron Bayonnais,14,0.9367,94.9
josiah-meihana-maraku,J. MARAKU,LOU Rugby,9,0.9363,94.9
swan-rebbadj,Swan REBBADJ,RC Toulon,10,0.9354,94.7
pascal-cotet,Pascal COTET,Aviron Bayonnais,12,0.9355,94.7
matteo-le-corvec,Mattéo LE CORVEC,USA Perpignan,12,0.9355,94.7
adrien-warion,Adrien WARION,USA Perpignan,13,0.935,94.6
janse-roux,Janse ROUX,LOU Rugby,12,0.9352,94.6
nika-abuladze-1,Nika ABULADZE,Montpellier Hérault Rugby,5,0.9349,94.5
adrien-seguret,Adrien SEGURET,Stade Rochelais,13,0.9346,94.5
ignacio-ruiz,Ignacio RUIZ,USA Perpignan,10,0.9347,94.5
kane-douglas,Kane DOUGLAS,Stade Rochelais,10,0.9343,94.4
baptiste-heguy,B. HEGUY,Aviron Bayonnais,13,0.9338,94.3
adrien-drault,Adrien DRAULT,Union Bordeaux-Bègles,3,0.9331,94.2
jerome-rey,J. REY,LOU Rugby,15,0.9335,94.2
youri-delhommel,Youri DELHOMMEL,Section Paloise,16,0.9334,94.2
antoine-tichit,Antoine TICHIT,Castres Olympique,9,0.9331,94.2
giorgi-melikidze,Giorgi MELIKIDZE,Stade Français Paris,19,0.9333,94.2
kieran-brookes,Kieran BROOKES,USA Perpignan,16,0.9327,94.1
gela-aprasidze,Gela APRASIDZE,USA Perpignan,4,0.9327,94.1
leo-carbonneau,L. CARBONNEAU,Racing 92,18,0.9323,94.0
leo-aouf,Leo AOUF,US Montauban,8,0.9324,94.0
ugo-seunes,Ugo SEUNES,Racing 92,17,0.9322,94.0
giorgi-akhaladze,Giorgi AKHALADZE,ASM Clermont,15,0.9313,93.8
alvaro-garcia-albo,A. GARCIA ALBO,Stade Français Paris,8,0.9315,93.8
alexandre-becognee,A. BECOGNEE,Montpellier Hérault Rugby,16,0.9314,93.8
lekso-kaulashvili,L. KAULASHVILI,Section Paloise,12,0.9306,93.6
pierre-colonna,Pierre COLONNA,Castres Olympique,7,0.9304,93.6
geoffrey-palis,G. PALIS,Castres Olympique,10,0.9304,93.6
adam-beard-1,Adam BEARD,Montpellier Hérault Rugby,9,0.9296,93.4
lucas-peyresblanques,L. PEYRESBLANQUES,Stade Français Paris,12,0.9296,93.4
arthur-vincent,Arthur VINCENT,Montpellier Hérault Rugby,15,0.9291,93.3
feibyan-cornell-tukino,F. TUKINO,Castres Olympique,7,0.9286,93.2
loris-zarantonello,L. ZARANTONELLO,Castres Olympique,7,0.9289,93.2
nikolozi-sutidze,N. SUTIDZE,Stade Rochelais,13,0.9283,93.1
hamza-kaabeche,Hamza KAABECHE,LOU Rugby,8,0.9284,93.1
carlu-johann-sadie,C. SADIE,Union Bordeaux-Bègles,20,0.9277,93.0
jordan-washington-petaia,J. PETAIA,USA Perpignan,6,0.9272,92.9
nathan-bollengier,N. BOLLENGIER,Stade Rochelais,3,0.9273,92.9
mohamed-haouas,Mohamed HAOUAS,Montpellier Hérault Rugby,10,0.9276,92.9
beka-saginadze,Beka SAGINADZE,LOU Rugby,8,0.9268,92.8
killian-tixeront,Killian TIXERONT,ASM Clermont,15,0.9263,92.7
killian-geraci,Killian GERACI,LOU Rugby,10,0.9264,92.7
quentin-lespiaucq,Quentin LESPIAUCQ,Stade Rochelais,10,0.9262,92.6
noa-isaac-kanika-bilonda,N. KANIKA-BILONDA,US Montauban,16,0.926,92.6
thomas-bue,Thomas BUE,US Montauban,16,0.9258,92.5
alexandre-etchebehere,A. ETCHEBEHERE,Section Paloise,5,0.9256,92.5
kyle-sinckler-1,Kyle SINCKLER,RC Toulon,16,0.9257,92.5
rodrigue-neti,R. NETI,Stade Toulousain,10,0.9254,92.5
jules-coulon,Jules COULON,RC Toulon,10,0.9255,92.5
alistaire-price,A. PRICE,Montpellier Hérault Rugby,15,0.9251,92.4
kevin-firmin,Kevin FIRMIN,US Montauban,12,0.9248,92.3
thibaut-regard,Thibaut REGARD,LOU Rugby,4,0.9244,92.2
valentin-simutoga,V. SIMUTOGA,US Montauban,10,0.9241,92.2
facundo-pomponio,Facundo POMPONIO,US Montauban,14,0.9242,92.2
tom-banks,Tom BANKS,Montpellier Hérault Rugby,20,0.9239,92.1
baptiste-erdocio,B. ERDOCIO,Montpellier Hérault Rugby,17,0.9233,92.0
marvin-saint-gys-okuya,M. OKUYA,LOU Rugby,5,0.9233,92.0
vincent-giudicelli,V. GIUDICELLI,Aviron Bayonnais,7,0.9225,91.8
luka-japaridze,Luka JAPARIDZE,Montpellier Hérault Rugby,11,0.9223,91.8
ricky-riccitelli,R. RICCITELLI,Montpellier Hérault Rugby,9,0.9219,91.7
leo-banos,Léo BANOS,Stade Toulousain,16,0.9204,91.4
martin-meliande,Martin MELIANDE,LOU Rugby,13,0.9205,91.4
etienne-fourcade,Etienne FOURCADE,ASM Clermont,14,0.9208,91.4
lucio-sordoni,Lucio SORDONI,US Montauban,7,0.9207,91.4
thomas-lavault,Thomas LAVAULT,Stade Rochelais,14,0.9202,91.3
corentin-mezou,C. MEZOU,RC Toulon,8,0.9199,91.3
