lnr_slug,name,team,n_matches_consistency,consistency_raw,axis_consistency
komiti-junior-alainuuese,K. ALAINUUESE,RC Toulon,21,0.7291,49.3
wilfrid-hounkpatin,W. HOUNKPATIN,Montpellier Hérault Rugby,17,0.728,49.1
nathanael-hulleu,N. HULLEU,Castres Olympique,8,0.7272,48.9
demba-bamba,Demba BAMBA,Racing 92,17,0.7275,48.9
alexandre-roumat,A. ROUMAT,Stade Toulousain,16,0.7273,48.9
mateo-garcia,Mateo GARCIA,RC Toulon,7,0.7259,48.6
baptiste-chouzenoux,B. CHOUZENOUX,Aviron Bayonnais,5,0.7255,48.5
sacha-lotrian,Sacha LOTRIAN,ASM Clermont,9,0.7256,48.5
leo-coly,Léo COLY,Montpellier Hérault Rugby,8,0.7248,48.4
pierre-castillon,Pierre CASTILLON,Aviron Bayonnais,3,0.7235,48.1
sipili-falatea,Sipili FALATEA,Union Bordeaux-Bègles,7,0.7235,48.1
jack-maddocks,Jack MADDOCKS,Section Paloise,14,0.7233,48.0
david-george-ribbans,D. RIBBANS,RC Toulon,16,0.7233,48.0
nafitalai-owen-maafu,N. MAAFU,US Montauban,17,0.7218,47.7
tyler-ardron,Tyler ARDRON,Castres Olympique,13,0.7218,47.7
rayan-rebbadj,Rayan REBBADJ,RC Toulon,4,0.7206,47.4
louis-bielle-biarrey,L. BIELLE-BIARREY,Union Bordeaux-Bègles,11,0.7177,46.8
vuate-karawalevu,V. KARAWALEVU,Castres Olympique,10,0.7176,46.8
juan-segundo-tuculet,J. TUCULET,US Montauban,8,0.7132,45.8
dillyn-leyds,Dillyn LEYDS,Stade Rochelais,14,0.7117,45.5
peniasi-dakuwaqa,Peniasi DAKUWAQA,Stade Français Paris,15,0.7115,45.4
beka-gorgadze,Beka GORGADZE,Section Paloise,14,0.7096,45.0
lucas-dubois,Lucas DUBOIS,USA Perpignan,7,0.7091,44.9
lucas-andjisseramatchi,L. ANDJISSERAMATCHI,Stade Rochelais,6,0.7079,44.6
charlie-cassang,Charlie CASSANG,LOU Rugby,14,0.7077,44.6
reda-wardi,Reda WARDI,Stade Rochelais,13,0.7073,44.5
auguste-cadot,Auguste CADOT,Montpellier Hérault Rugby,11,0.7064,44.3
soumaila-camara,S. CAMARA,Racing 92,4,0.7051,44.0
benjamin-urdapilleta,B. URDAPILLETA,USA Perpignan,10,0.7041,43.8
davit-niniashvili,D. NINIASHVILI,Stade Rochelais,17,0.7024,43.4
alex-newsome,Alex NEWSOME,ASM Clermont,12,0.7017,43.3
baptiste-cope,B. COPE,Castres Olympique,10,0.7008,43.1
barnabe-massa,B. MASSA,ASM Clermont,18,0.6973,42.3
leo-michaux-vargas,L. MICHAUX VARGAS,ASM Clermont,4,0.6961,42.0
yanis-basse,Yanis BASSE,Racing 92,3,0.696,42.0
adam-vargas,Adam VARGAS,Castres Olympique,10,0.6961,42.0
jiuta-naqoli-wainiqolo,J. WAINIQOLO,LOU Rugby,15,0.6955,41.9
antoine-frisch,Antoine FRISCH,RC Toulon,3,0.6949,41.8
jack-nowell,Jack NOWELL,Stade Rochelais,14,0.6942,41.6
blair-kinghorn-1,Blair KINGHORN,Stade Toulousain,13,0.6939,41.6
lewis-wesley-ludlam,L. LUDLAM,RC Toulon,20,0.6938,41.5
setariki-tuicuvu,S. TUICUVU,RC Toulon,11,0.6929,41.3
efrain-elias,Efrain ELIAS,Stade Toulousain,14,0.6927,41.3
guram-gogichashvili,G. GOGICHASHVILI,Racing 92,19,0.6922,41.2
damian-penaud,Damian PENAUD,Union Bordeaux-Bègles,15,0.6913,41.0
gregory-alldritt,G. ALLDRITT,Stade Rochelais,17,0.6894,40.6
teddy-durand,Teddy DURAND,Castres Olympique,19,0.6889,40.5
bastien-vergnes-taillefer,B. VERGNES TAILLEFER,Union Bordeaux-Bègles,17,0.6889,40.5
tawera-kerr-barlow,T. KERR BARLOW,Stade Français Paris,16,0.6879,40.2
ma-a-allan-nonu,M. NONU,RC Toulon,7,0.6866,40.0
aymeric-luc,Aymeric LUC,Section Paloise,9,0.687,40.0
mael-moustin,Maël MOUSTIN,Montpellier Hérault Rugby,11,0.6839,39.4
thomas-berjon,Thomas BERJON,Stade Rochelais,11,0.6838,39.3
baptiste-jules-tilloles,B. TILLOLES,Aviron Bayonnais,7,0.6826,39.1
lucas-martin,Lucas MARTIN,Aviron Bayonnais,16,0.6827,39.1
alexis-bernadet,Alexis BERNADET,Montpellier Hérault Rugby,7,0.6823,39.0
matis-perchaud,Matis PERCHAUD,Union Bordeaux-Bègles,19,0.6817,38.9
pierre-damond,Pierre DAMOND,RC Toulon,15,0.681,38.7
iosefo-masi-baleiwairiki,I. BALEIWAIRIKI,LOU Rugby,6,0.6786,38.2
cedate-gomes-sa,Cedate GOMES SA,LOU Rugby,5,0.6781,38.1
thomas-jolmes,Thomas JOLMES,Section Paloise,8,0.6777,38.0
pierre-popelin,Pierre POPELIN,Castres Olympique,12,0.6764,37.7
lucas-seyrolle,Lucas SEYROLLE,US Montauban,13,0.6752,37.4
vincent-rattez,Vincent RATTEZ,LOU Rugby,3,0.6749,37.4
axel-guillaud,Axel GUILLAUD,ASM Clermont,3,0.6747,37.3
jeremy-fernandez,J. FERNANDEZ,Castres Olympique,10,0.6741,37.2
enzo-herve,Enzo HERVE,Castres Olympique,8,0.674,37.2
victor-montgaillard,V. MONTGAILLARD,USA Perpignan,4,0.6733,37.0
benjamin-white,B. WHITE,RC Toulon,10,0.6721,36.8
emmanuel-meafou,E. MEAFOU,Stade Toulousain,7,0.6719,36.7
tani-vili,Tani VILI,Stade Français Paris,11,0.6706,36.4
kalvin-gourgues,Kalvin GOURGUES,Stade Toulousain,13,0.6691,36.1
tavite-veredamu,Tavite VEREDAMU,USA Perpignan,7,0.6667,35.6
christopher-tolofua,C. TOLOFUA,Montpellier Hérault Rugby,17,0.6657,35.4
alivereti-loaloa,A. LOALOA,ASM Clermont,13,0.6652,35.2
lucas-rey,Lucas REY,Section Paloise,13,0.6652,35.2
maxime-mathy,Maxime MATHY,US Montauban,11,0.6643,35.1
swan-cormenier,Swan CORMENIER,Aviron Bayonnais,6,0.6634,34.9
mathis-sarragallet,M. SARRAGALLET,LOU Rugby,4,0.6584,33.8
hugo-reus,Hugo REUS,USA Perpignan,9,0.6567,33.4
mathieu-smaili,Mathieu SMAILI,RC Toulon,9,0.6553,33.1
mathis-castro-ferreira,M. CASTRO FERREIRA,Stade Toulousain,8,0.6546,32.9
daniel-robson,Daniel ROBSON,Section Paloise,12,0.6538,32.7
cheikh-saliou-tiberghien,C. TIBERGHIEN,Aviron Bayonnais,17,0.6513,32.2
sebastien-bezy,S. BEZY,ASM Clermont,7,0.6506,32.0
dimitri-delibes,Dimitri DELIBES,Stade Toulousain,9,0.6486,31.6
antoine-aucagne,Antoine AUCAGNE,USA Perpignan,3,0.6471,31.3
antoine-dupont,Antoine DUPONT,Stade Toulousain,5,0.6468,31.2
vilimoni-botitu,V. BOTITU,Castres Olympique,13,0.6468,31.2
xan-mousques,Xan MOUSQUES,Union Bordeaux-Bègles,8,0.647,31.2
monty-ioane,Monty IOANE,LOU Rugby,8,0.646,31.0
ihaia-west,Ihaia WEST,Stade Rochelais,8,0.6459,31.0
alexandre-tchaptchet-noutcha,A. TCHAPTCHET NOUTCHA,LOU Rugby,6,0.6451,30.8
pierre-louis-barassi,P. BARASSI,Stade Toulousain,10,0.6434,30.5
clement-mondinat,Clement MONDINAT,Section Paloise,6,0.6425,30.3
nicolas-depoortere,N. DEPOORTERE,Union Bordeaux-Bègles,12,0.6376,29.2
sama-leonardo-malolo,S. MALOLO,USA Perpignan,7,0.6335,28.3
nolann-le-garrec,Nolann LE GARREC,Stade Rochelais,13,0.6321,28.0
baptiste-jauneau,B. JAUNEAU,ASM Clermont,16,0.6317,27.9
gabin-lorre,Gabin LORRE,LOU Rugby,13,0.6317,27.9
gael-fickou,Gael FICKOU,Racing 92,12,0.631,27.7
peceli-yato,Peceli YATO,USA Perpignan,15,0.6289,27.3
remy-baget,Remy BAGET,Castres Olympique,6,0.6288,27.2
yoan-tanga-mangene,Y. TANGA MANGENE,Stade Français Paris,14,0.6264,26.7
kylan-hamdaoui,Kylan HAMDAOUI,ASM Clermont,10,0.6224,25.8
jordan-joseph,Jordan JOSEPH,Racing 92,9,0.6176,24.8
christian-guetang-ambadiang,C. GUETANG AMBADIANG,Castres Olympique,11,0.6173,24.7
peato-mauvaka,Peato MAUVAKA,Stade Toulousain,4,0.6169,24.6
marius-domon,Marius DOMON,RC Toulon,13,0.6166,24.6
matthis-lebel,Matthis LEBEL,Stade Toulousain,14,0.6163,24.5
yacouba-camara,Yacouba CAMARA,Montpellier Hérault Rugby,11,0.6088,22.8
anthony-jelonch,Anthony JELONCH,Stade Toulousain,10,0.6082,22.7
louis-carbonel,Louis CARBONEL,Stade Français Paris,18,0.6077,22.6
joris-jurand,Joris JURAND,ASM Clermont,13,0.6073,22.5
gabin-villiere,Gabin VILLIERE,RC Toulon,5,0.6056,22.1
teddy-thomas,Teddy THOMAS,Stade Toulousain,14,0.6049,22.0
julien-marchand,Julien MARCHAND,Stade Toulousain,7,0.6029,21.6
joe-jonas,Joe JONAS,Stade Français Paris,3,0.6002,21.0
irae-vincynt-simone,I. SIMONE,ASM Clermont,7,0.5993,20.8
jeremy-charles-ward,J. WARD,Stade Français Paris,15,0.5985,20.6
wilfried-hulleu,W. HULLEU,Racing 92,14,0.5976,20.4
salesi-rayasi,Salesi RAYASI,Union Bordeaux-Bègles,14,0.5965,20.1
bautista-delguy,B. DELGUY,ASM Clermont,13,0.5942,19.6
jeremie-maurouard,Jeremie MAUROUARD,US Montauban,13,0.5942,19.6
tom-spring,Tom SPRING,Aviron Bayonnais,18,0.5916,19.1
leo-barre,Leo BARRE,Stade Français Paris,19,0.5908,18.9
romain-buros,Romain BUROS,Union Bordeaux-Bègles,10,0.5903,18.8
levani-botia-veivuke,L. VEIVUKE,Stade Rochelais,21,0.5878,18.2
paul-vallee,Paul VALLEE,US Montauban,12,0.5861,17.9
antoine-hastoy,Antoine HASTOY,Stade Rochelais,14,0.5851,17.6
joseph-laharrague,J. LAHARRAGUE,Union Bordeaux-Bègles,5,0.5825,17.1
thomas-ramos,Thomas RAMOS,Stade Toulousain,11,0.5787,16.2
romain-taofifenua,R. TAOFIFENUA,Racing 92,11,0.5767,15.8
jefferson-lee-joseph,J. JOSEPH,USA Perpignan,13,0.5767,15.8
gabriel-ngandebe,Gabriel NGANDEBE,Montpellier Hérault Rugby,18,0.5731,15.0
lyam-akrab,Lyam AKRAB,Montpellier Hérault Rugby,3,0.5715,14.6
oliver-cowie,Oliver COWIE,RC Toulon,9,0.5702,14.4
posolo-tuilagi,Posolo TUILAGI,USA Perpignan,8,0.5704,14.4
maxime-baudonne,Maxime BAUDONNE,Racing 92,19,0.5642,13.0
stuart-hogg-1,Stuart HOGG,Montpellier Hérault Rugby,4,0.5612,12.4
baptiste-serin,B. SERIN,RC Toulon,16,0.5611,12.4
semi-lagivala,Semi LAGIVALA,Stade Rochelais,12,0.555,11.0
facundo-bosch,Facundo BOSCH,Aviron Bayonnais,17,0.549,9.7
facundo-isa,Facundo ISA,Section Paloise,18,0.5466,9.2
arnaud-erbinartegaray,A. ERBINARTEGARAY,Aviron Bayonnais,11,0.545,8.8
theo-ntamack-muyenga,T. NTAMACK MUYENGA,Stade Toulousain,10,0.5441,8.6
louka-guilhot,Louka GUILHOT,Castres Olympique,3,0.5428,8.3
etuale-manusamoa-tuilagi,E. TUILAGI,Aviron Bayonnais,11,0.5405,7.8
eneriko-buliruarua,E. BULIRUARUA,USA Perpignan,13,0.5395,7.6
yohan-orabe,Yohan ORABE,Aviron Bayonnais,13,0.5389,7.5
lennox-anyanwu-1,Lennox ANYANWU,Montpellier Hérault Rugby,9,0.5333,6.2
joaquin-oviedo,Joaquin OVIEDO,USA Perpignan,10,0.5332,6.2
samuel-james,Samuel JAMES,Racing 92,12,0.5287,5.2
john-thomas-jackson,J. JACKSON,US Montauban,14,0.5272,4.9
latu-silatolu-latu,L. LATU,Stade Rochelais,12,0.5234,4.1
thibaut-robert-motassi-dibongue,T. MOTASSI DIBONGUE,Stade Français Paris,8,0.5232,4.0
thomas-lacombre,Thomas LACOMBRE,Stade Toulousain,13,0.5216,3.7
alexandre-kaddouri,A. KADDOURI,Stade Rochelais,13,0.5215,3.7
anthime-hemery,Anthime HEMERY,ASM Clermont,12,0.5214,3.6
martin-page-relo,Martin PAGE RELO,Union Bordeaux-Bègles,8,0.5129,1.8
rohan-janse-van-rensburg-2,R. JANSE VAN RENSBURG,Union Bordeaux-Bègles,14,0.513,1.8
melvyn-jaminet,Melvyn JAMINET,RC Toulon,12,0.513,1.8
temo-matiu,Temo MATIU,Union Bordeaux-Bègles,16,0.5117,1.5
arthur-retiere,Arthur RETIERE,Union Bordeaux-Bègles,5,0.5074,0.6
alexander-masibaka,A. MASIBAKA,Montpellier Hérault Rugby,9,0.4261,0.0
lucas-velarte,Lucas VELARTE,USA Perpignan,9,0.4895,0.0
esteban-capilla,Esteban CAPILLA,Aviron Bayonnais,13,0.376,0.0
job-poulet-1,Job POULET,USA Perpignan,7,0.4183,0.0
sireli-maqala,Sireli MAQALA,Aviron Bayonnais,15,0.407,0.0
valentin-hutteau,V. HUTTEAU,Union Bordeaux-Bègles,7,0.212,0.0
giovanni-habel-kuffner,G. HABEL KUFFNER,Aviron Bayonnais,7,0.4376,0.0
guillaume-cramont,G. CRAMONT,Stade Toulousain,13,0.4664,0.0
celian-pouzelgues,C. POUZELGUES,Stade Toulousain,5,0.5046,0.0
andy-timo,Andy TIMO,Stade Rochelais,6,0.3775,0.0
thibault-daubagna,T. DAUBAGNA,Section Paloise,16,0.4744,0.0
josua-tuisova,Josua TUISOVA,Racing 92,13,0.4961,0.0
sekou-macalou,Sekou MACALOU,Stade Français Paris,10,0.4455,0.0
benjamin-bertrand,B. BERTRAND,Stade Toulousain,8,0.4816,0.0
jack-willis,Jack WILLIS,Stade Toulousain,16,0.436,0.0
federico-mori,F. MORI,Aviron Bayonnais,7,0.477,0.0
baptiste-couilloud,B. COUILLOUD,LOU Rugby,8,0.3439,0.0
josua-vici,Josua VICI,US Montauban,16,0.4176,0.0
tomaakino-taufa,T. TAUFA,Union Bordeaux-Bègles,4,0.3748,0.0
hoani-bosmorin,Hoani BOSMORIN,Stade Rochelais,6,0.4961,0.0
zach-yvan-mercer,Z. MERCER,RC Toulon,14,0.4644,0.0
jose-junior-kpoku,J. K'POKU,RC Toulon,5,0.5001,0.0
nathan-decron,Nathan DECRON,Section Paloise,11,0.4893,0.0
geronimo-prisciantelli,G. PRISCIANTELLI,Racing 92,6,0.5021,0.0
manex-ariceta-maestro,M. ARICETA MAESTRO,Aviron Bayonnais,4,0.4523,0.0
mickael-capelli,Mickael CAPELLI,Section Paloise,12,0.474,0.0
leo-berdeu,Léo BERDEU,LOU Rugby,13,0.4956,0.0
benjamin-tameifuna,B. TAMEIFUNA,Union Bordeaux-Bègles,9,0.4791,0.0
