lnr_id,name,team,matches_verified,starter_rate,form_window,form_tackles_per80,form_line_breaks_per80,form_offloads_per80,form_turnovers_per80
2354,C. TOLOFUA,Montpellier Hérault Rugby,15,0.0,5,5.48,0.0,0.0,1.1
2177,Cameron WOKI,Union Bordeaux-Bègles,17,0.882,5,7.0,0.2,1.0,0.0
2165,Camille CHAT,LOU Rugby,11,0.091,5,12.65,0.0,0.68,0.0
13440,Carwyn TUIPULOTU,Section Paloise,1,0.0,1,0.0,0.0,0.0,0.0
2162,Cedate GOMES SA,LOU Rugby,9,0.0,5,13.77,0.0,0.66,0.0
1773,Charles LALOI,Stade Français Paris,5,0.6,5,5.29,0.62,0.31,0.31
2355,Charles OLLIVON,RC Toulon,9,0.667,5,8.79,0.44,1.32,0.0
1700,Charlie CASSANG,LOU Rugby,12,0.25,5,6.72,0.31,0.31,0.0
1843,Clement MONDINAT,Section Paloise,9,0.222,5,2.3,0.92,0.92,0.0
2490,Clement VERGE,Stade Toulousain,15,0.533,5,11.61,0.32,1.61,0.32
1886,Clovis LE BAIL,RC Toulon,6,0.5,5,4.0,0.0,0.73,0.0
12399,Colin DUPUY,Castres Olympique,1,0.0,1,0.0,0.0,0.0,0.0
531,Connor SA,Union Bordeaux-Bègles,9,0.333,5,11.92,0.38,0.38,0.0
2451,Cyril BAILLE,Stade Toulousain,10,0.0,5,4.61,0.0,0.84,0.0
324,Cyril CAZEAUX,Union Bordeaux-Bègles,13,0.462,5,12.47,0.0,0.35,0.0
708,D. BIBI BIZIWU,Section Paloise,8,0.0,5,11.5,0.0,0.0,0.0
11474,D. JACKSON,LOU Rugby,7,0.286,5,5.53,0.0,0.33,0.33
1034,D. NINIASHVILI,Stade Rochelais,15,0.867,5,5.89,1.81,2.72,0.23
2365,D. PRISO MOUANGUE,RC Toulon,17,0.176,5,10.6,0.0,0.0,0.0
11798,D. RIBBANS,RC Toulon,15,0.8,5,7.96,0.0,0.86,0.0
2151,D. TAOFIFENUA,Montpellier Hérault Rugby,10,0.6,5,6.82,0.0,0.0,0.0
695,Damian PENAUD,Union Bordeaux-Bègles,13,1.0,5,3.53,1.45,3.32,0.0
432,Daniel BRENNAN,RC Toulon,12,0.0,5,8.28,0.0,0.0,0.0
1870,Daniel ROBSON,Section Paloise,10,0.3,5,6.27,0.9,0.3,0.0
13764,Daniel TUPOU,Racing 92,0,0.0,0,,,,
2500,David AINUU,Stade Toulousain,9,0.0,5,7.0,0.0,0.0,0.74
1079,Demba BAMBA,Racing 92,17,0.059,5,13.16,0.0,0.36,0.0
12570,Diego ESCOBAR,Racing 92,12,0.167,5,15.18,0.32,0.63,0.95
