player_id,name,team,position_group,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,carries_per80,meters_per80,passes_per80,kick_meters_per80,penalties_per80,offloads_per80,line_breaks_per80,turnovers_won_per80,turnovers_lost_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct
lnr_2658,Facundo Bosch,Bayonne,FRONT_ROW,15,677.0,45.1,12.76,,,,,,,0.95,0.0,0.47,,0.59,,,,
lnr_2612,Sireli Maqala,Bayonne,CENTRE,14,893.0,63.8,5.38,,,,,,,0.9,0.72,0.36,,2.24,,,,
lnr_2349,Emerick Setiano,Bayonne,FRONT_ROW,14,616.0,44.0,6.75,,,,,,,0.13,0.13,0.0,,0.0,,,,
lnr_2565,Andy Bordelai,Bayonne,FRONT_ROW,13,711.0,54.7,9.68,,,,,,,0.0,0.11,0.0,,0.0,,,,
lnr_2645,Pascal Cotet,Bayonne,FRONT_ROW,13,429.0,33.0,8.21,,,,,,,0.19,0.0,0.0,,0.0,,,,
lnr_663,A. Fischer,Bayonne,BACK_ROW,13,721.0,55.5,9.65,,,,,,,0.55,0.44,0.33,,1.66,,,,
lnr_2633,B. Heguy,Bayonne,BACK_ROW,13,656.0,50.5,10.12,,,,,,,0.24,0.12,0.12,,0.0,,,,
lnr_690,Arthur Iturria,Bayonne,LOCK,13,763.0,58.7,9.65,,,,,,,0.52,0.0,0.21,,1.05,,,,
lnr_2628,Yohan Orabe,Bayonne,FULLBACK,13,695.0,53.5,5.06,,,,,,,0.23,0.69,0.0,,0.58,,,,
lnr_462,Rodrigo Bruni,Bayonne,BACK_ROW,12,790.0,65.8,9.92,,,,,,,0.91,0.41,0.41,,1.01,,,,
lnr_241,B. Germain,Bayonne,SCRUM_HALF,12,641.0,53.4,6.61,,,,,,,0.62,0.12,0.12,,4.12,,,,
lnr_416,L. Paulos Adler,Bayonne,LOCK,12,682.0,56.8,8.68,,,,,,,0.12,0.0,0.23,,1.17,,,,
lnr_2607,Esteban Capilla,Bayonne,BACK_ROW,11,679.0,61.7,10.01,,,,,,,0.59,0.82,0.35,,4.12,,,,
lnr_2609,A. Erbinartegaray,Bayonne,FULLBACK,11,846.0,76.9,4.63,,,,,,,0.57,0.66,0.0,,0.47,,,,
lnr_2657,G. Martocq,Bayonne,CENTRE,11,652.0,59.3,6.99,,,,,,,0.12,0.0,0.0,,0.0,,,,
lnr_13647,Robert Leota,Bayonne,BACK_ROW,10,676.0,67.6,9.94,,,,,,,0.0,0.24,0.12,,0.59,,,,
lnr_12628,E. Tuilagi,Bayonne,CENTRE,10,676.0,67.6,5.44,,,,,,,0.36,0.47,0.12,,0.59,,,,
lnr_12629,A. Moon,Bayonne,LOCK,9,441.0,49.0,9.8,,,,,,,0.18,0.0,0.0,,0.0,,,,
lnr_11937,B. Tilloles,Bayonne,SCRUM_HALF,8,216.0,27.0,2.22,,,,,,,0.37,0.0,0.0,,0.0,,,,
lnr_3252,M. Ariceta Maestro,Bayonne,BACK_ROW,7,151.0,21.6,13.25,,,,,,,0.0,1.06,0.0,,0.0,,,,
lnr_1885,Ignacio Calles,Bayonne,FRONT_ROW,7,324.0,46.3,7.9,,,,,,,0.25,0.0,0.49,,0.0,,,,
lnr_12404,Mateo Carreras,Bayonne,WINGER,7,470.0,67.1,4.09,,,,,,,0.68,1.36,0.0,,3.4,,,,
lnr_2669,Swan Cormenier,Bayonne,FRONT_ROW,7,199.0,28.4,7.24,,,,,,,0.0,0.0,0.4,,0.0,,,,
lnr_1424,V. Giudicelli,Bayonne,FRONT_ROW,7,218.0,31.1,13.94,,,,,,,0.0,0.37,0.37,,1.83,,,,
lnr_1812,G. Habel Kuffner,Bayonne,BACK_ROW,7,373.0,53.3,8.15,,,,,,,0.43,0.21,0.0,,0.0,,,,
lnr_280,F. Mori,Bayonne,CENTRE,7,391.0,55.9,3.89,,,,,,,0.82,0.2,0.0,,0.0,,,,
lnr_13654,G. Anscombe,Bayonne,FLY_HALF,6,164.0,27.3,7.8,,,,,,,0.0,0.0,0.0,,3.41,,,,
lnr_2171,B. Chouzenoux,Bayonne,BACK_ROW,5,211.0,42.2,7.58,,,,,,,0.76,0.0,0.0,,0.0,,,,
lnr_2100,Luke Tagi,Bayonne,FRONT_ROW,5,200.0,40.0,8.0,,,,,,,1.2,0.0,0.0,,0.0,,,,
lnr_13711,H. González Hernández,Bayonne,FRONT_ROW,4,100.0,25.0,12.8,,,,,,,0.0,0.0,0.8,,0.0,,,,
lnr_2640,Maxime Machenaud,Bayonne,SCRUM_HALF,4,143.0,35.8,6.15,,,,,,,1.68,0.0,0.0,,0.0,,,,
lnr_11813,Pierre Castillon,Bayonne,FRONT_ROW,3,83.0,27.7,14.46,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_724,M. Fepulea'i,Bayonne,FRONT_ROW,3,110.0,36.7,5.82,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_3063,Victor Hannoun,Bayonne,WINGER,3,218.0,72.7,4.04,,,,,,,0.0,0.0,0.37,,0.0,,,,
lnr_2674,Tevita Tatafu,Bayonne,FRONT_ROW,3,100.0,33.3,8.0,,,,,,,0.0,0.0,0.0,,4.0,,,,
lnr_13648,A. Garcia Iandolino,Bayonne,LOCK,2,40.0,20.0,10.0,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_11728,G. Lapegue Lafaye,Bayonne,CENTRE,2,74.0,37.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_14057,Raphael Marchesin,Bayonne,BACK_ROW,2,62.0,31.0,15.48,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_1805,Nadir Megdoud,Bayonne,WINGER,1,80.0,80.0,6.0,,,,,,,0.0,1.0,0.0,,0.0,,,,
lnr_11435,Teddy Durand,Castres,FRONT_ROW,17,914.0,53.8,11.47,,,,,,,0.35,0.09,0.09,,1.31,,,,
lnr_560,L. Guerois Galisson,Castres,FRONT_ROW,17,696.0,40.9,11.95,,,,,,,0.0,0.0,0.0,,0.57,,,,
lnr_624,F. Vanverberghe,Castres,LOCK,15,908.0,60.5,13.66,,,,,,,0.09,0.0,0.0,,0.0,,,,
lnr_11820,E. Goodhue,Castres,CENTRE,14,921.0,65.8,10.77,,,,,,,0.78,0.35,0.17,,1.3,,,,
lnr_640,T. Staniforth,Castres,LOCK,14,666.0,47.6,16.1,,,,,,,0.12,0.0,0.12,,0.0,,,,
lnr_549,V. Botitu,Castres,CENTRE,13,829.0,63.8,7.04,,,,,,,0.87,0.68,0.0,,1.93,,,,
lnr_1892,G. Ducat,Castres,LOCK,13,846.0,65.1,7.47,,,,,,,0.09,0.0,0.0,,0.0,,,,
lnr_611,J. Fernandez,Castres,SCRUM_HALF,13,536.0,41.2,5.97,,,,,,,0.45,0.45,0.45,,8.96,,,,
lnr_990,Pierre Popelin,Castres,FULLBACK,13,691.0,53.2,3.01,,,,,,,0.69,0.12,0.0,,9.96,,,,
lnr_555,S. Arata Perrone,Castres,SCRUM_HALF,12,717.0,59.8,7.7,,,,,,,1.34,0.45,0.0,,1.12,,,,
lnr_550,Tyler Ardron,Castres,LOCK,12,822.0,68.5,9.64,,,,,,,0.68,0.19,0.29,,0.97,,,,
lnr_599,Mathieu Babillot,Castres,BACK_ROW,12,735.0,61.2,10.56,,,,,,,0.54,0.0,0.33,,0.0,,,,
lnr_1888,Nicolas Corato,Castres,FRONT_ROW,12,419.0,34.9,9.16,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_580,G. Maravat,Castres,BACK_ROW,12,451.0,37.6,9.93,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_633,B. Cope,Castres,BACK_ROW,11,378.0,34.4,18.2,,,,,,,0.21,0.21,0.42,,0.0,,,,
lnr_606,B. Delaporte,Castres,BACK_ROW,11,776.0,70.5,12.99,,,,,,,0.21,0.0,0.31,,0.0,,,,
lnr_596,Adrien Seguret,Castres,CENTRE,11,269.0,24.5,5.65,,,,,,,0.3,0.0,0.0,,0.0,,,,
lnr_612,G. Doubrere,Castres,SCRUM_HALF,10,182.0,18.2,7.91,,,,,,,0.44,0.0,0.44,,0.0,,,,
lnr_1562,C. Guetang Ambadiang,Castres,WINGER,10,778.0,77.8,5.45,,,,,,,1.03,0.82,0.31,,2.57,,,,
lnr_13511,V. Karawalevu,Castres,WINGER,10,619.0,61.9,3.36,,,,,,,0.9,1.29,0.0,,0.65,,,,
lnr_384,Abraham Papalii,Castres,LOCK,10,487.0,48.7,8.21,,,,,,,1.15,0.16,0.0,,1.64,,,,
lnr_593,Antoine Tichit,Castres,FRONT_ROW,10,303.0,30.3,8.18,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_68,L. Zarantonello,Castres,FRONT_ROW,10,303.0,30.3,15.31,,,,,,,0.0,0.0,0.0,,2.64,,,,
lnr_12516,William Collier,Castres,FRONT_ROW,9,391.0,43.4,7.57,,,,,,,0.0,0.0,0.2,,1.02,,,,
lnr_603,G. Palis,Castres,FULLBACK,9,455.0,50.6,3.87,,,,,,,0.18,0.35,0.0,,1.41,,,,
